2019-04-12 04:45:24:	epoch 1, global step:1000, loss 0.6221, test auc:0.7717, time:93.89
2019-04-12 04:46:58:	epoch 1, global step:2000, loss 0.5276, test auc:0.8215, time:94.10
2019-04-12 04:47:12:	epoch 1 done, cost time:202.39
2019-04-12 04:48:34:	epoch 2, global step:3000, loss 0.2945, test auc:0.8170, time:96.42
2019-04-12 04:50:10:	epoch 2, global step:4000, loss 0.3846, test auc:0.8254, time:95.11
2019-04-12 04:50:38:	epoch 2 done, cost time:408.27
2019-04-12 04:51:47:	epoch 3, global step:5000, loss 0.1866, test auc:0.8256, time:97.56
2019-04-12 04:53:20:	epoch 3, global step:6000, loss 0.2965, test auc:0.8304, time:92.41
2019-04-12 04:54:20:	epoch 3 done, cost time:629.67
2019-04-12 04:55:12:	epoch 4, global step:7000, loss 0.1097, test auc:0.8253, time:112.40
2019-04-12 04:56:45:	epoch 4, global step:8000, loss 0.2209, test auc:0.8076, time:93.37
2019-04-12 04:57:42:	epoch 4 done, cost time:832.11
2019-04-12 04:58:20:	epoch 5, global step:9000, loss 0.0657, test auc:0.8035, time:94.75
2019-04-12 04:59:52:	epoch 5, global step:10000, loss 0.1747, test auc:0.8090, time:92.30
2019-04-12 05:01:05:	epoch 5 done, cost time:1034.51
2019-04-12 05:01:28:	epoch 6, global step:11000, loss 0.0324, test auc:0.8125, time:95.23
2019-04-12 05:03:02:	epoch 6, global step:12000, loss 0.1436, test auc:0.7961, time:93.93
2019-04-12 05:04:26:	epoch 6 done, cost time:1235.65
2019-04-12 05:04:35:	epoch 7, global step:13000, loss 0.0085, test auc:0.8093, time:93.76
2019-04-12 05:06:10:	epoch 7, global step:14000, loss 0.1050, test auc:0.7822, time:94.19
2019-04-12 05:07:44:	epoch 7, global step:15000, loss 0.1251, test auc:0.7835, time:94.04
2019-04-12 05:07:49:	epoch 7 done, cost time:1438.68
2019-04-13 09:59:30:	epoch 1 done, cost time:0.35
2019-04-13 10:00:14:	epoch 1 done, cost time:0.12
2019-04-13 10:00:14:	epoch 2 done, cost time:0.17
2019-04-13 10:00:14:	epoch 3 done, cost time:0.25
2019-04-13 10:00:14:	epoch 4 done, cost time:0.32
2019-04-13 10:00:14:	epoch 5 done, cost time:0.38
2019-04-13 10:00:14:	epoch 6 done, cost time:0.44
2019-04-13 10:00:14:	epoch 7 done, cost time:0.51
2019-04-13 10:00:14:	epoch 8 done, cost time:0.57
2019-04-13 10:00:14:	epoch 9 done, cost time:0.65
2019-04-13 10:00:14:	epoch 10 done, cost time:0.72
2019-04-13 10:01:20:	epoch 1, global step:1, loss 0.0003 time:0.12
2019-04-13 10:01:42:	epoch 1, global step:1, loss 0.0014 time:0.08
2019-04-13 10:01:42:	epoch 1 done, cost time:0.08
2019-04-13 10:01:43:	epoch 2, global step:2, loss 0.0013 time:0.09
2019-04-13 10:01:43:	epoch 2 done, cost time:0.18
2019-04-13 10:01:43:	epoch 3, global step:3, loss 0.0013 time:0.02
2019-04-13 10:01:43:	epoch 3 done, cost time:0.20
2019-04-13 10:01:43:	epoch 4, global step:4, loss 0.0013 time:0.09
2019-04-13 10:01:43:	epoch 4 done, cost time:0.30
2019-04-13 10:01:43:	epoch 5, global step:5, loss 0.0013 time:0.03
2019-04-13 10:01:43:	epoch 5 done, cost time:0.33
2019-04-13 10:01:43:	epoch 6, global step:6, loss 0.0013 time:0.08
2019-04-13 10:01:43:	epoch 6 done, cost time:0.41
2019-04-13 10:01:43:	epoch 7, global step:7, loss 0.0012 time:0.04
2019-04-13 10:01:43:	epoch 7 done, cost time:0.46
2019-04-13 10:01:43:	epoch 8, global step:8, loss 0.0012 time:0.08
2019-04-13 10:01:43:	epoch 8 done, cost time:0.54
2019-04-13 10:01:43:	epoch 9, global step:9, loss 0.0012 time:0.04
2019-04-13 10:01:43:	epoch 9 done, cost time:0.59
2019-04-13 10:01:43:	epoch 10, global step:10, loss 0.0012 time:0.09
2019-04-13 10:01:43:	epoch 10 done, cost time:0.67
2019-04-13 10:02:38:	epoch 1, global step:1, loss 0.0009 time:0.12
2019-04-13 10:02:38:	epoch 1 done, cost time:0.12
2019-04-13 10:02:38:	epoch 2, global step:2, loss 0.0009 time:0.07
2019-04-13 10:02:38:	epoch 2 done, cost time:0.19
2019-04-13 10:02:38:	epoch 3, global step:3, loss 0.0008 time:0.06
2019-04-13 10:02:38:	epoch 3 done, cost time:0.25
2019-04-13 10:02:38:	epoch 4, global step:4, loss 0.0008 time:0.08
2019-04-13 10:02:38:	epoch 4 done, cost time:0.33
2019-04-13 10:02:38:	epoch 5, global step:5, loss 0.0008 time:0.04
2019-04-13 10:02:38:	epoch 5 done, cost time:0.38
2019-04-13 10:02:38:	epoch 6, global step:6, loss 0.0008 time:0.06
2019-04-13 10:02:38:	epoch 6 done, cost time:0.44
2019-04-13 10:02:38:	epoch 7, global step:7, loss 0.0008 time:0.06
2019-04-13 10:02:38:	epoch 7 done, cost time:0.51
2019-04-13 10:02:38:	epoch 8, global step:8, loss 0.0008 time:0.06
2019-04-13 10:02:38:	epoch 8 done, cost time:0.57
2019-04-13 10:02:38:	epoch 9, global step:9, loss 0.0008 time:0.07
2019-04-13 10:02:38:	epoch 9 done, cost time:0.64
2019-04-13 10:02:38:	epoch 10, global step:10, loss 0.0008 time:0.07
2019-04-13 10:02:38:	epoch 10 done, cost time:0.72
2019-04-13 10:09:55:	epoch 1, global step:1, loss 0.0004 time:0.10
2019-04-13 10:09:55:	epoch 1 done, cost time:0.10
2019-04-13 10:09:55:	epoch 2, global step:2, loss 0.0004 time:0.05
2019-04-13 10:09:55:	epoch 2 done, cost time:0.16
2019-04-13 10:09:55:	epoch 3, global step:3, loss 0.0004 time:0.10
2019-04-13 10:09:55:	epoch 3 done, cost time:0.25
2019-04-13 10:09:55:	epoch 4, global step:4, loss 0.0004 time:0.03
2019-04-13 10:09:55:	epoch 4 done, cost time:0.29
2019-04-13 10:09:55:	epoch 5, global step:5, loss 0.0004 time:0.07
2019-04-13 10:09:55:	epoch 5 done, cost time:0.36
2019-04-13 10:09:55:	epoch 6, global step:6, loss 0.0004 time:0.05
2019-04-13 10:09:55:	epoch 6 done, cost time:0.41
2019-04-13 10:09:55:	epoch 7, global step:7, loss 0.0004 time:0.07
2019-04-13 10:09:55:	epoch 7 done, cost time:0.48
2019-04-13 10:09:55:	epoch 8, global step:8, loss 0.0004 time:0.06
2019-04-13 10:09:55:	epoch 8 done, cost time:0.54
2019-04-13 10:09:55:	epoch 9, global step:9, loss 0.0003 time:0.08
2019-04-13 10:09:55:	epoch 9 done, cost time:0.62
2019-04-13 10:09:56:	epoch 10, global step:10, loss 0.0003 time:0.05
2019-04-13 10:09:56:	epoch 10 done, cost time:0.67
2019-04-13 10:10:51:	epoch 1, global step:1, loss 0.0006 time:0.06
2019-04-13 10:10:51:	epoch 1 done, cost time:0.06
2019-04-13 10:10:51:	epoch 2, global step:2, loss 0.0006 time:0.06
2019-04-13 10:10:51:	epoch 2 done, cost time:0.12
2019-04-13 10:10:51:	epoch 3, global step:3, loss 0.0006 time:0.06
2019-04-13 10:10:51:	epoch 3 done, cost time:0.19
2019-04-13 10:10:51:	epoch 4, global step:4, loss 0.0006 time:0.05
2019-04-13 10:10:51:	epoch 4 done, cost time:0.24
2019-04-13 10:10:51:	epoch 5, global step:5, loss 0.0006 time:0.08
2019-04-13 10:10:51:	epoch 5 done, cost time:0.32
2019-04-13 10:10:51:	epoch 6, global step:6, loss 0.0005 time:0.07
2019-04-13 10:10:51:	epoch 6 done, cost time:0.38
2019-04-13 10:10:51:	epoch 7, global step:7, loss 0.0005 time:0.07
2019-04-13 10:10:51:	epoch 7 done, cost time:0.45
2019-04-13 10:10:51:	epoch 8, global step:8, loss 0.0005 time:0.06
2019-04-13 10:10:51:	epoch 8 done, cost time:0.51
2019-04-13 10:10:52:	epoch 9, global step:9, loss 0.0005 time:0.07
2019-04-13 10:10:52:	epoch 9 done, cost time:0.58
2019-04-13 10:10:52:	epoch 10, global step:10, loss 0.0005 time:0.06
2019-04-13 10:10:52:	epoch 10 done, cost time:0.64
2019-04-13 10:22:49:	epoch 1, global step:1, loss 0.0013 time:0.08
2019-04-13 10:22:49:	epoch 1 done, cost time:0.08
2019-04-13 10:22:49:	epoch 2, global step:2, loss 0.0013 time:0.05
2019-04-13 10:22:49:	epoch 2 done, cost time:0.14
2019-04-13 10:22:49:	epoch 3, global step:3, loss 0.0013 time:0.07
2019-04-13 10:22:49:	epoch 3 done, cost time:0.21
2019-04-13 10:22:49:	epoch 4, global step:4, loss 0.0013 time:0.07
2019-04-13 10:22:49:	epoch 4 done, cost time:0.28
2019-04-13 10:22:49:	epoch 5, global step:5, loss 0.0012 time:0.06
2019-04-13 10:22:49:	epoch 5 done, cost time:0.34
2019-04-13 10:22:50:	epoch 6, global step:6, loss 0.0012 time:0.07
2019-04-13 10:22:50:	epoch 6 done, cost time:0.41
2019-04-13 10:22:50:	epoch 7, global step:7, loss 0.0012 time:0.06
2019-04-13 10:22:50:	epoch 7 done, cost time:0.47
2019-04-13 10:22:50:	epoch 8, global step:8, loss 0.0012 time:0.08
2019-04-13 10:22:50:	epoch 8 done, cost time:0.55
2019-04-13 10:22:50:	epoch 9, global step:9, loss 0.0011 time:0.05
2019-04-13 10:22:50:	epoch 9 done, cost time:0.60
2019-04-13 10:22:50:	epoch 10, global step:10, loss 0.0011 time:0.08
2019-04-13 10:22:50:	epoch 10 done, cost time:0.67
2019-04-13 10:24:02:	epoch 1, global step:1, loss 0.0010 time:0.21
2019-04-13 10:24:02:	epoch 1 done, cost time:0.21
2019-04-13 10:24:02:	epoch 2, global step:2, loss 0.0010 time:0.45
2019-04-13 10:24:02:	epoch 2 done, cost time:0.67
2019-04-13 10:24:03:	epoch 3, global step:3, loss 0.0010 time:0.33
2019-04-13 10:24:03:	epoch 3 done, cost time:1.00
